knowledge_base,doc_type,title,url,download_url,source,source_domain,authority,issued_date,effective_date,date_crawled,source_tier,claim_status,extraction_method,sha256,standardized_file
law,legal,Văn bản hợp nhất Bộ luật Hình sự số 135/VBHN-VPQH,https://vanban.chinhphu.vn/?docid=215260&pageid=27160,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/135-vbhn-vpqh.pdf,bo-luat-hinh-su-vbhn-135-2025.pdf,vanban.chinhphu.vn,Văn phòng Quốc hội,2025-09-05,,,official_legal_source,official_legal_text,pypdf,ce7f1dc86e2f40c102f26e5d6980519d51842f864070a979939e182125400155,data\standardized\legal\bo-luat-hinh-su-vbhn-135-2025.md
law,legal,"Văn bản hợp nhất Luật Phòng, chống ma túy số 117/VBHN-VPQH",https://vanban.chinhphu.vn/?docid=215316&pageid=27160,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/117-vbhn-vpqha.pdf,luat-phong-chong-ma-tuy-vbhn-117-2025.pdf,vanban.chinhphu.vn,Văn phòng Quốc hội,2025-08-27,,,official_legal_source,official_legal_text,pypdf,4bb235aa172021d65a92a73a4224e5d00a8b719b9db9b69081df424b75268e09,data\standardized\legal\luat-phong-chong-ma-tuy-vbhn-117-2025.md
law,legal,"Nghị định 144/2021/NĐ-CP về xử phạt hành chính an ninh, trật tự",https://vanban.chinhphu.vn/?classid=1&docid=204979&pageid=27160&typegroupid=4,https://datafiles.chinhphu.vn/cpp/files/vbpq/2022/01/144.signed.pdf,nghi-dinh-144-2021-xu-phat-an-ninh-trat-tu.pdf,vanban.chinhphu.vn,Chính phủ,2021-12-31,2022-01-01,,official_legal_source,official_legal_text,curated_official_excerpt,7baad192cc56050a3d07e1261ab04642e5ff873cd9f1969ca29234ac432e7d96,data\standardized\legal\nghi-dinh-144-2021-xu-phat-an-ninh-trat-tu.md
news,news,20 năm hoạt động của Miu Lê trước khi bị bắt quả tang dùng ma túy,https://vnexpress.net/20-nam-hoat-dong-cua-miu-le-truoc-khi-bi-bat-qua-tang-dung-ma-tuy-5072922.html,,news_01.json,vnexpress.net,,,,2026-09-21T10:42:48.183337+00:00,major_news_outlet,reported_by_media_as_caught,,68ccdd826d5e7283aca42ccb1f8d645a6ecf74fae53e36b6cf36896f9dc3f697,data\standardized\news\news_01.md
news,news,Cuộc sống của Miu Lê trước khi bị điều tra liên quan đến ma túy,https://thanhnien.vn/cuoc-song-cua-miu-le-truoc-khi-bi-dieu-tra-lien-quan-den-ma-tuy-185260512025301291.htm,,news_02.json,thanhnien.vn,,,,2026-09-21T10:42:48.883624+00:00,major_news_outlet,reported_as_under_investigation,,6a86d834127521874f69acec45c087bce8cb15279a85df2e1d03b26500b9179d,data\standardized\news\news_02.md
news,news,Những dấu mốc sự nghiệp của Miu Lê trước vụ việc sử dụng chất cấm tại Hải Phòng,https://vtv.vn/miu-le-truoc-khi-bi-bat-qua-tang-su-dung-ma-tuy-100260512123207532.htm,,news_03.json,vtv.vn,,,,2026-09-21T10:42:49.516004+00:00,government_or_public_broadcaster,reported_by_media_as_caught,,3b2414d2e69e2434591115615fd24c3dbd6c144edfe5a64171d431b1cb236e93,data\standardized\news\news_03.md
news,news,"Xử lý nghiêm 48 đối tượng mua bán, tổ chức sử dụng và tàng trữ trái phép chất ma túy",https://baochinhphu.vn/xu-ly-nghiem-48-doi-tuong-mua-ban-to-chuc-su-dung-va-tang-tru-trai-phep-chat-ma-tuy-102260703085404331.htm,,news_04.json,baochinhphu.vn,,,,2026-09-21T10:42:50.082953+00:00,government_or_public_broadcaster,official_case_report,,d3716e80a84fbe9da001904b804ce26ceabc26c64d95118be3d4468329a59442,data\standardized\news\news_04.md
news,news,Truy tố 65 bị can trong vụ “ đại án” xảy ra tại Viện Pháp y tâm thần Trung ương,https://baochinhphu.vn/truy-to-65-bi-can-trong-vu-dai-an-xay-ra-tai-vien-phap-y-tam-than-trung-uong-102260805113852704.htm,,news_05.json,baochinhphu.vn,,,,2026-09-21T10:42:50.789035+00:00,government_or_public_broadcaster,official_case_report,,25104470598e6f70c66f7c21c731e2f88eb99c6af788df99e6cdf5b2eed7c072,data\standardized\news\news_05.md
news,news,"Triệt phá đường dây ma túy xuyên biên giới, bắt giữ 65 đối tượng, 10kg chất cấm",https://vtv.vn/triet-pha-duong-day-ma-tuy-xuyen-bien-gioi-bat-giu-65-doi-tuong-10kg-chat-cam-100260626210515558.htm,,news_06.json,vtv.vn,,,,2026-09-21T10:42:51.477562+00:00,government_or_public_broadcaster,official_case_report,,1f6dd1b050e1c2f9b4d5cac10a406c6933d98b0c2c0cb13239ac2668123beaff,data\standardized\news\news_06.md
news,news,TP Hồ Chí Minh: Bắt giữ 53 đối tượng liên quan đến ma túy tại phường Bảy Hiền,https://vtv.vn/chuyen-an-0526m-bat-giu-53-doi-tuong-lien-quan-den-ma-tuy-tai-phuong-bay-hien-100260617150637534.htm,,news_07.json,vtv.vn,,,,2026-09-21T10:42:52.232850+00:00,government_or_public_broadcaster,official_case_report,,83060e354a9f20fb9d02ddb5e4e6b028f5bba6cfdb3a270692a308ba25aa9c34,data\standardized\news\news_07.md
